estrutura,n,adicionar,remover,aumentar,diminuir
Pilha (Array),0,3.887000275426544e-06,2.040000254055485e-06,7.998000000952743e-06,5.952000719844364e-06
Pilha (Array),50,2.1071999981359113e-05,2.0990999473724514e-05,4.51400046586059e-06,3.334999746584799e-06
Pilha (Array),100,2.2236000404518563e-05,2.5237999579985626e-05,4.7292999624914955e-05,1.2442999832273927e-05
Pilha (Array),150,2.8315999770711642e-05,3.983900023740716e-05,3.864000063913409e-06,3.3910000638570637e-06
Pilha (Array),200,3.368299985595513e-05,7.23450002624304e-05,3.578999894671142e-06,3.772000127355568e-06
Pilha (Array),250,3.9882000237412285e-05,6.723200021951925e-05,4.114000148547348e-06,4.23500023316592e-06
Pilha (Array),300,4.97859991810401e-05,8.165400049620075e-05,3.7789995985804126e-06,4.913999873679131e-06
Pilha (Array),350,5.368200072553009e-05,9.741599933477119e-05,4.372000148578081e-06,5.323000550561119e-06
Pilha (Array),400,5.467200026032515e-05,0.00011884900050063152,4.112000169698149e-06,5.744999725720845e-06
Pilha (Array),450,7.395099964924157e-05,0.00012411499938025372,4.569999873638153e-06,6.4149999161600135e-06
Pilha (Array),500,6.919099996594014e-05,0.00013881500035495264,1.6419000530731864e-05,8.093000360531732e-06
Pilha (Array),550,7.127600019884994e-05,0.0001496599998063175,9.581999620422721e-06,8.910999895306304e-06
Pilha (Array),600,7.664400072826538e-05,0.0001642400002310751,6.170000233396422e-06,9.202000001096167e-06
Pilha (Array),650,8.268600049632369e-05,0.0001963360000445391,1.2567999874590896e-05,1.0540999937802553e-05
Pilha (Array),700,8.912300017982488e-05,0.00019049300044571282,6.117999873822555e-06,1.0318999557057396e-05
Pilha (Array),750,9.790900003281422e-05,0.00021094500061735744,6.231999577721581e-06,1.1199999789823778e-05
Pilha (Array),800,0.00010395299977972172,0.00022422700021706987,1.4074000318942126e-05,1.2272000276425388e-05
Pilha (Array),850,0.00011726599950634409,0.00028279999969527125,7.122000170056708e-06,1.446999976906227e-05
Pilha (Array),900,0.00011649200041574659,0.00029789899963361677,3.154099977109581e-05,1.5767999684612732e-05
Pilha (Array),950,0.00011919600001419894,0.00025708199973450974,1.2798000170732848e-05,1.601799976924667e-05
Pilha (Array),1000,0.00012980300016351976,0.0002799580006467295,9.324000529886689e-06,1.6763000530772842e-05
Pilha (Array),1050,0.00013170199963496998,0.00029380199976003496,8.173000423994381e-06,1.6511000467289705e-05
Pilha (Array),1100,0.00014561100033461116,0.0003336400004627649,3.453899989835918e-05,1.83769998329808e-05
Pilha (Array),1150,0.0001519010002084542,0.00032376800027122954,1.0310000106983352e-05,1.9003000488737598e-05
Pilha (Array),1200,0.00016826099999889266,0.0005142870004419819,2.199299979110947e-05,1.9723000150406733e-05
Pilha (Array),1250,0.0001504239999121637,0.00036383499991643475,1.056099972629454e-05,2.1099999685247894e-05
Pilha (Array),1300,0.00016283500008285046,0.0003351639998072642,6.253999981709057e-05,2.072000006592134e-05
Pilha (Array),1350,0.0001620560005903826,0.0003415929995753686,1.5020999853732064e-05,2.0915000277454965e-05
Pilha (Array),1400,0.00016057600078056566,0.0003555570001481101,1.1479999557195697e-05,3.0100000003585592e-05
